CHR,BIN_START,BIN_END,midBP,n_all,n_PC1,r_PC1,n_PC2,r_PC2,n_PC3,r_PC3,r_PC1_scaled,r_PC2_scaled,r_PC3_scaled
chr1R,1000000,2000000,1500000,18,0,0,1,0.05555555555555555,0,0,0,0.01818181818181818,0
chr1R,2000000,3000000,2500000,2,0,0,0,0,0,0,0,0,0
chr1R,4000000,5000000,4500000,4,0,0,0,0,0,0,0,0,0
chr1R,5000000,6000000,5500000,2,0,0,0,0,0,0,0,0,0
chr1R,6000000,7000000,6500000,10,0,0,0,0,0,0,0,0,0
chr1R,8000000,9000000,8500000,2,0,0,0,0,0,0,0,0,0
chr1R,10000000,11000000,10500000,2,0,0,0,0,0,0,0,0,0
chr1R,13000000,14000000,13500000,8,0,0,0,0,0,0,0,0,0
chr1R,15000000,16000000,15500000,3,0,0,0,0,0,0,0,0,0
chr1R,16000000,17000000,16500000,15,0,0,0,0,0,0,0,0,0
chr1R,24000000,25000000,24500000,14,0,0,0,0,0,0,0,0,0
chr1R,25000000,26000000,25500000,3,0,0,0,0,0,0,0,0,0
chr1R,30000000,31000000,30500000,16,1,0.0625,0,0,0,0,0.01818181818181818,0,0
chr1R,33000000,34000000,33500000,4,0,0,0,0,0,0,0,0,0
chr1R,34000000,35000000,34500000,3,0,0,0,0,0,0,0,0,0
chr1R,35000000,36000000,35500000,4,0,0,0,0,0,0,0,0,0
chr1R,38000000,39000000,38500000,5,0,0,0,0,0,0,0,0,0
chr1R,39000000,40000000,39500000,1,0,0,0,0,0,0,0,0,0
chr1R,43000000,44000000,43500000,9,0,0,0,0,0,0,0,0,0
chr1R,46000000,47000000,46500000,1,0,0,0,0,0,0,0,0,0
chr1R,47000000,48000000,47500000,3,0,0,0,0,0,0,0,0,0
chr1R,48000000,49000000,48500000,6,0,0,0,0,0,0,0,0,0
chr1R,50000000,51000000,50500000,19,0,0,0,0,0,0,0,0,0
chr1R,51000000,52000000,51500000,8,0,0,0,0,0,0,0,0,0
chr1R,52000000,53000000,52500000,5,0,0,0,0,0,0,0,0,0
chr1R,55000000,56000000,55500000,4,0,0,0,0,0,0,0,0,0
chr1R,56000000,57000000,56500000,7,1,0.14285714285714285,0,0,0,0,0.01818181818181818,0,0
chr1R,57000000,58000000,57500000,3,0,0,0,0,0,0,0,0,0
chr1R,60000000,61000000,60500000,4,0,0,0,0,0,0,0,0,0
chr1R,61000000,62000000,61500000,4,0,0,0,0,0,0,0,0,0
chr1R,62000000,63000000,62500000,12,0,0,0,0,0,0,0,0,0
chr1R,64000000,65000000,64500000,3,0,0,0,0,0,0,0,0,0
chr1R,65000000,66000000,65500000,1,0,0,0,0,0,0,0,0,0
chr1R,66000000,67000000,66500000,8,0,0,0,0,0,0,0,0,0
chr1R,67000000,68000000,67500000,1,0,0,0,0,0,0,0,0,0
chr1R,75000000,76000000,75500000,2,0,0,0,0,0,0,0,0,0
chr1R,79000000,80000000,79500000,7,0,0,0,0,0,0,0,0,0
chr1R,80000000,81000000,80500000,9,0,0,0,0,0,0,0,0,0
chr1R,82000000,83000000,82500000,10,0,0,0,0,0,0,0,0,0
chr1R,83000000,84000000,83500000,7,0,0,0,0,0,0,0,0,0
chr1R,84000000,85000000,84500000,6,0,0,0,0,0,0,0,0,0
chr1R,86000000,87000000,86500000,1,0,0,0,0,0,0,0,0,0
chr1R,90000000,91000000,90500000,3,0,0,0,0,0,0,0,0,0
chr1R,91000000,92000000,91500000,8,0,0,0,0,0,0,0,0,0
chr1R,94000000,95000000,94500000,5,0,0,0,0,0,0,0,0,0
chr1R,96000000,97000000,96500000,7,0,0,0,0,0,0,0,0,0
chr1R,97000000,98000000,97500000,2,0,0,0,0,0,0,0,0,0
chr1R,100000000,101000000,100500000,4,1,0.25,0,0,0,0,0.01818181818181818,0,0
chr1R,101000000,102000000,101500000,8,0,0,0,0,0,0,0,0,0
chr1R,106000000,107000000,106500000,5,0,0,0,0,0,0,0,0,0
chr1R,107000000,108000000,107500000,12,0,0,0,0,0,0,0,0,0
chr1R,108000000,109000000,108500000,5,0,0,0,0,0,0,0,0,0
chr1R,109000000,110000000,109500000,3,0,0,0,0,0,0,0,0,0
chr1R,110000000,111000000,110500000,5,0,0,0,0,0,0,0,0,0
chr1R,114000000,115000000,114500000,3,0,0,0,0,0,0,0,0,0
chr1R,115000000,116000000,115500000,4,1,0.25,0,0,0,0,0.01818181818181818,0,0
chr1R,118000000,119000000,118500000,1,0,0,0,0,0,0,0,0,0
chr1R,120000000,121000000,120500000,2,0,0,0,0,0,0,0,0,0
chr1R,122000000,123000000,122500000,1,0,0,0,0,0,0,0,0,0
chr1R,124000000,125000000,124500000,1,0,0,0,0,0,0,0,0,0
chr1R,127000000,128000000,127500000,2,0,0,0,0,0,0,0,0,0
chr1R,128000000,129000000,128500000,4,0,0,0,0,0,0,0,0,0
chr1R,131000000,132000000,131500000,2,0,0,0,0,0,0,0,0,0
chr1R,132000000,133000000,132500000,1,0,0,0,0,0,0,0,0,0
chr1R,136000000,137000000,136500000,2,0,0,0,0,0,0,0,0,0
chr1R,140000000,141000000,140500000,9,0,0,0,0,0,0,0,0,0
chr1R,147000000,148000000,147500000,3,0,0,0,0,0,0,0,0,0
chr1R,152000000,153000000,152500000,1,0,0,0,0,0,0,0,0,0
chr1R,154000000,155000000,154500000,7,0,0,0,0,0,0,0,0,0
chr1R,155000000,156000000,155500000,1,0,0,0,0,0,0,0,0,0
chr1R,156000000,157000000,156500000,1,0,0,0,0,0,0,0,0,0
chr1R,157000000,158000000,157500000,1,0,0,0,0,0,0,0,0,0
chr1R,160000000,161000000,160500000,4,0,0,0,0,0,0,0,0,0
chr1R,164000000,165000000,164500000,1,0,0,0,0,0,0,0,0,0
chr1R,165000000,166000000,165500000,3,0,0,0,0,0,0,0,0,0
chr1R,167000000,168000000,167500000,2,0,0,0,0,0,0,0,0,0
chr1R,234000000,235000000,234500000,3,0,0,0,0,0,0,0,0,0
chr1R,261000000,262000000,261500000,1,0,0,0,0,0,0,0,0,0
chr1R,280000000,281000000,280500000,3,0,0,0,0,0,0,0,0,0
chr1R,281000000,282000000,281500000,4,1,0.25,0,0,0,0,0.01818181818181818,0,0
chr1R,287000000,288000000,287500000,2,0,0,0,0,0,0,0,0,0
chr1R,288000000,289000000,288500000,1,0,0,0,0,0,0,0,0,0
chr1R,290000000,291000000,290500000,1,0,0,0,0,0,0,0,0,0
chr1R,297000000,298000000,297500000,1,0,0,0,0,0,0,0,0,0
